name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Jesse Ronson,21-12-0 (1 NC),The Body Snatcher,"5'10""",155lbs.,"70""",Southpaw,"Dec24,1985",3.54,47%,3.39,57%,0.46,28%,57%,0.5,2023-09-20 21:50:56.958211
George Roop,15-13-1,,"6'1""",135lbs.,"72""",Orthodox,"Nov10,1981",3.43,34%,2.47,60%,1.05,57%,59%,0.1,2023-09-20 21:50:56.958211
Joao Roque,7-2-4,,"5'6""",155lbs.,--,Orthodox,"Jul22,1971",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Aaron Rosa,18-6-0,,"6'4""",205lbs.,"77""",Orthodox,"May28,1983",4.03,47%,4.41,45%,0.36,33%,85%,0.4,2023-09-20 21:50:56.958211
Charles Rosa,14-8-0,Boston Strong,"5'9""",145lbs.,"69""",Switch,"Aug24,1986",3.08,36%,3.86,47%,1.67,35%,38%,1.0,2023-09-20 21:50:56.958211
Karol Rosa,17-5-0,,"5'5""",145lbs.,"67""",Orthodox,"Dec30,1994",5.43,55%,4.17,48%,1.38,47%,68%,0.0,2023-09-20 21:50:56.958211
Jacob Rosales,13-7-0,The Lil Badger,"5'11""",155lbs.,"74""",Orthodox,"Jul28,1995",7.19,46%,10.66,44%,1.12,18%,50%,0.6,2023-09-20 21:50:56.958211
Raul Rosas Jr.,8-1-0,El Nino Problema,"5'9""",135lbs.,"67""",Switch,"Oct08,2004",1.28,44%,1.52,46%,3.57,33%,0%,1.8,2023-09-20 21:50:56.958211
Hilarie Rose,4-2-0,,"5'3""",115lbs.,"63""",Orthodox,"Nov11,1992",2.33,33%,6.13,44%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Jake Rosholt,12-5-0 (1 NC),,"6'1""",185lbs.,--,Orthodox,"Feb09,1982",2.68,53%,2.33,49%,6.51,68%,0%,1.8,2023-09-20 21:50:56.958211
Jared Rosholt,14-4-0,,"6'2""",265lbs.,"75""",Orthodox,"Aug04,1986",2.08,46%,1.52,59%,1.83,41%,66%,0.1,2023-09-20 21:50:56.958211
Kevin Rosier,2-6-0,,"6'4""",275lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Zach Rosol,3-2-0,,--,243lbs.,--,,--,0.0,0%,14.21,25%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Shannon Ross,13-8-0,The Turkish Delight,"5'6""",125lbs.,"66""",Switch,"May12,1989",6.58,38%,8.93,52%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Nick Rossborough,26-19-1,Leatherface,"6'5""",205lbs.,--,,"Nov18,1981",2.8,35%,4.33,35%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Kristian Rothaermel,4-3-0,,"6'0""",205lbs.,--,OpenStance,"Jan31,1972",0.75,50%,2.49,41%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Ben Rothwell,39-14-0,,"6'4""",265lbs.,"78""",Orthodox,"Oct17,1981",3.71,42%,4.63,47%,0.68,34%,70%,0.4,2023-09-20 21:50:56.958211
Rick Roufus,4-6-0,,"6'0""",207lbs.,--,Southpaw,--,0.53,33%,1.06,33%,0.0,0%,50%,0.0,2023-09-20 21:50:56.958211
Khalil Rountree Jr.,13-5-0 (1 NC),,"6'1""",205lbs.,"76""",Southpaw,"Feb26,1990",3.73,38%,4.16,50%,0.0,0%,56%,0.1,2023-09-20 21:50:56.958211
Ronda Rousey,12-2-0,Rowdy,"5'7""",135lbs.,"66""",Orthodox,"Feb01,1987",4.17,52%,4.14,44%,6.26,68%,50%,4.8,2023-09-20 21:50:56.958211
Ray Routh,2-1-0,,"5'8""",185lbs.,--,Orthodox,--,0.54,21%,3.22,28%,2.69,33%,0%,0.0,2023-09-20 21:50:56.958211
Roberta Rovel,4-1-0,Crusher,"5'8""",145lbs.,--,,--,0.87,46%,3.0,26%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Phil Rowe,10-4-0,The Fresh Prince,"6'3""",170lbs.,"80""",Orthodox,"Jul18,1990",3.94,52%,4.32,54%,0.85,40%,59%,0.4,2023-09-20 21:50:56.958211
Cameron Rowston,8-2-0,Van Damme,--,185lbs.,--,,"Jan19,1995",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Kain Royer,2-2-0,,--,185lbs.,--,,--,0.0,0%,1.63,14%,0.0,0%,0%,4.1,2023-09-20 21:50:56.958211
Brad Royster,1-2-0,,--,135lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Brandon Royval,15-6-0,Raw Dawg,"5'9""",125lbs.,"68""",Southpaw,"Aug16,1992",3.45,38%,2.63,50%,0.66,100%,39%,2.3,2023-09-20 21:50:56.958211
Jairzinho Rozenstruik,13-5-0,Bigi Boy,"6'2""",242lbs.,"78""",Orthodox,"Mar17,1988",2.81,45%,3.15,45%,0.0,0%,73%,0.0,2023-09-20 21:50:56.958211
Mauricio Rua,27-14-1,Shogun,"6'1""",205lbs.,"76""",Orthodox,"Nov25,1981",3.57,50%,2.79,54%,2.01,48%,49%,0.7,2023-09-20 21:50:56.958211
Murilo Rua,20-13-1,Ninja,"5'11""",185lbs.,--,Orthodox,"May22,1980",2.48,45%,1.85,53%,1.97,45%,37%,1.2,2023-09-20 21:50:56.958211
Marco Ruas,9-4-2,King of the Streets,"6'1""",210lbs.,--,Orthodox,"Jan23,1961",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Rodrigo Ruas,4-5-1 (1 NC),,"5'10""",185lbs.,--,Orthodox,"Oct06,1977",1.28,35%,7.0,41%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Rodolfo Rubio Perez,10-16-1,Fito,"5'5""",145lbs.,--,Orthodox,"Jan29,1987",1.13,36%,1.0,62%,2.0,33%,33%,0.0,2023-09-20 21:50:56.958211
Gabe Ruediger,18-8-0,Godzilla,"5'10""",155lbs.,--,Orthodox,"Aug29,1977",1.7,31%,5.16,41%,2.04,11%,28%,0.0,2023-09-20 21:50:56.958211
Mauricio Ruffy,8-1-0,,--,170lbs.,--,,"Jun17,1993",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Eddie Ruiz,1-1-0,,"5'7""",155lbs.,--,Orthodox,"Jun10,1967",0.2,25%,1.4,47%,2.0,12%,0%,0.0,2023-09-20 21:50:56.958211
Anthony Ruiz,33-22-0,El Toro,"6'2""",205lbs.,--,Orthodox,"Nov03,1977",2.56,64%,1.67,28%,1.43,31%,21%,0.0,2023-09-20 21:50:56.958211
Paul Ruiz,7-4-0,,"5'6""",135lbs.,--,,"Jun23,1987",1.4,33%,1.4,75%,0.0,0%,100%,20.9,2023-09-20 21:50:56.958211
Montserrat Conejo Ruiz,10-3-0,,"5'0""",115lbs.,"61""",Southpaw,"Feb03,1993",0.82,28%,4.24,42%,2.56,83%,66%,1.0,2023-09-20 21:50:56.958211
Mike Russow,15-3-0 (1 NC),,"6'1""",255lbs.,"73""",Orthodox,"Sep11,1976",1.55,47%,2.9,59%,4.66,43%,0%,0.7,2023-09-20 21:50:56.958211
Bas Rutten,28-4-1,El Guapo,"6'1""",205lbs.,--,Orthodox,"Feb24,1965",5.59,61%,2.06,79%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Nursulton Ruziboev,35-8-2,Black,"6'5""",185lbs.,"76""",Orthodox,"Nov19,1993",4.68,66%,2.34,40%,11.69,100%,0%,0.0,2023-09-20 21:50:56.958211
Casey Ryan,7-3-0,,--,185lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Yusup Saadulaev,16-4-1 (1 NC),Maestro,"5'6""",135lbs.,--,,"Mar31,1985",0.57,45%,0.96,66%,5.73,60%,0%,1.0,2023-09-20 21:50:56.958211
Cameron Saaiman,9-0-0,MSP,"5'8""",135lbs.,"67""",Southpaw,"Dec20,2000",5.41,48%,2.48,59%,1.33,66%,41%,0.7,2023-09-20 21:50:56.958211
Pete Sabala,3-15-0,,--,135lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Danny Sabatello,9-1-0,Italian Gangster,"5'10""",135lbs.,"71""",Orthodox,"Mar31,1993",2.07,57%,0.2,25%,3.0,75%,100%,1.0,2023-09-20 21:50:56.958211
Pat Sabatini,18-4-0,,"5'8""",145lbs.,"70""",Orthodox,"Nov09,1990",1.95,59%,1.35,51%,3.83,45%,42%,1.9,2023-09-20 21:50:56.958211
Amir Sadollah,6-5-0,,"5'10""",170lbs.,"75""",Orthodox,"Aug27,1980",4.71,46%,3.55,60%,0.57,27%,60%,0.3,2023-09-20 21:50:56.958211
Nazim Sadykhov,9-1-0,Black Wolf,"5'10""",155lbs.,"69""",Southpaw,"May16,1994",4.35,52%,3.72,56%,0.52,100%,75%,0.5,2023-09-20 21:50:56.958211
Frankie Saenz,13-7-0,,"5'6""",135lbs.,"66""",Orthodox,"Aug12,1980",3.94,47%,3.5,52%,1.74,31%,61%,0.1,2023-09-20 21:50:56.958211
Saparbeg Safarov,9-3-0,,"6'1""",185lbs.,"78""",Orthodox,"Oct14,1986",4.03,48%,2.96,47%,2.52,41%,33%,0.0,2023-09-20 21:50:56.958211
Tarec Saffiedine,16-7-0,Sponge,"5'10""",170lbs.,"70""",Switch,"Sep06,1986",4.05,47%,3.06,62%,0.52,36%,84%,0.1,2023-09-20 21:50:56.958211
Jason Saggo,12-4-0,,"5'11""",155lbs.,"71""",Orthodox,"Nov23,1985",2.5,39%,2.94,52%,2.33,40%,23%,0.0,2023-09-20 21:50:56.958211
Benoit Saint Denis,12-1-0 (1 NC),God of War,"5'11""",155lbs.,"73""",Southpaw,"Dec18,1995",5.59,52%,5.27,44%,4.72,36%,80%,1.4,2023-09-20 21:50:56.958211
Ovince Saint Preux,26-17-0,,"6'3""",205lbs.,"80""",Southpaw,"Apr08,1983",2.71,47%,3.14,46%,1.15,38%,66%,0.5,2023-09-20 21:50:56.958211
Lukasz Sajewski,13-3-0,Wookie,"5'8""",155lbs.,"71""",Orthodox,"Nov27,1990",2.06,35%,3.88,57%,1.01,25%,66%,0.0,2023-09-20 21:50:56.958211
Yukio Sakaguchi,6-7-0,,"5'9""",185lbs.,--,Orthodox,"Jul26,1973",0.3,25%,2.4,50%,4.5,100%,0%,9.0,2023-09-20 21:50:56.958211
Augusto Sakai,16-5-1,,"6'3""",265lbs.,"77""",Orthodox,"May09,1991",4.6,49%,3.83,48%,0.23,40%,56%,0.0,2023-09-20 21:50:56.958211
Alessio Sakara,19-11-0 (2 NC),Legionarius,"6'0""",185lbs.,"72""",Orthodox,"Sep02,1981",3.96,47%,2.8,59%,2.18,78%,62%,0.0,2023-09-20 21:50:56.958211
Wataru Sakata,11-14-0,,"5'9""",195lbs.,--,Southpaw,"Mar11,1973",1.11,61%,2.08,31%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Gokhan Saki,1-2-0,The Rebel,"6'0""",205lbs.,"73""",Orthodox,"Oct19,1983",7.09,58%,4.57,53%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Kazushi Sakuraba,26-17-1 (2 NC),The Gracie Hunter,"6'0""",185lbs.,--,Southpaw,"Jul14,1969",1.26,41%,2.03,51%,1.26,31%,48%,1.7,2023-09-20 21:50:56.958211
Hayato Sakurai,38-13-2,Mach,"5'7""",168lbs.,--,Orthodox,"Aug24,1975",2.45,49%,1.94,59%,1.87,69%,56%,0.3,2023-09-20 21:50:56.958211
Ryuta Sakurai,24-24-6,,"5'7""",183lbs.,--,Orthodox,--,1.8,48%,3.44,58%,0.52,100%,36%,1.6,2023-09-20 21:50:56.958211
Justin Salas,12-7-0,J-Bomb,"5'8""",155lbs.,"70""",Southpaw,"Mar13,1982",3.42,43%,2.96,68%,2.43,20%,0%,0.0,2023-09-20 21:50:56.958211
Ivan Salaverry,14-9-0,,"6'0""",185lbs.,--,Orthodox,"Jan11,1971",3.01,47%,1.19,76%,0.49,18%,36%,2.5,2023-09-20 21:50:56.958211
Roman Salazar,10-6-0 (1 NC),El Gallito,"5'7""",135lbs.,--,Orthodox,"Feb21,1988",1.95,39%,2.89,57%,1.77,18%,50%,0.0,2023-09-20 21:50:56.958211
Luis Saldana,16-7-1,,"5'11""",145lbs.,"73""",Orthodox,"Jan27,1991",5.16,50%,3.65,60%,0.64,17%,44%,0.2,2023-09-20 21:50:56.958211
John Salgado,4-8-1,Greco,"5'10""",170lbs.,--,,--,0.99,50%,1.86,40%,0.0,0%,50%,0.0,2023-09-20 21:50:56.958211
Muslim Salikhov,19-4-0,King of Kung Fu,"5'11""",170lbs.,"70""",Orthodox,"Jun09,1984",3.37,51%,2.91,62%,1.31,40%,73%,0.0,2023-09-20 21:50:56.958211
Gabriel Salinas-Jones,5-2-1,,"6'1""",245lbs.,--,,"Nov20,1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Brandon Saling,8-6-0,White Steel,"5'10""",170lbs.,--,,"Jan28,1986",2.88,40%,6.08,20%,0.0,0%,57%,0.0,2023-09-20 21:50:56.958211
Quillan Salkilld,4-1-0,,"6'0""",155lbs.,"76""",Orthodox,"Dec28,1999",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Sean Salmon,18-21-0,,"5'10""",185lbs.,--,Southpaw,"Sep11,1977",1.49,33%,2.03,65%,4.06,50%,0%,0.0,2023-09-20 21:50:56.958211
Boston Salmon,6-3-0,Boom Boom,"5'9""",135lbs.,"69""",Southpaw,"Nov20,1990",4.13,37%,7.75,59%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
John Salter,14-3-0,,"6'1""",185lbs.,"74""",Southpaw,"Mar21,1985",1.68,32%,1.68,68%,2.85,46%,66%,0.5,2023-09-20 21:50:56.958211
Vinicius Salvador,14-6-0,,"5'7""",125lbs.,"70""",Southpaw,"Jul24,1996",5.44,42%,6.05,49%,0.38,11%,86%,0.0,2023-09-20 21:50:56.958211
Dylan Salvador,5-2-0,,"5'9""",155lbs.,"69""",Southpaw,"May20,1993",4.34,37%,11.57,46%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Josh Samman,13-4-0,Anqa,"6'3""",185lbs.,"79""",Orthodox,"Mar14,1988",2.08,52%,2.47,34%,1.09,33%,33%,0.4,2023-09-20 21:50:56.958211
Johnny Sampaio,3-1-0,,"5'8""",170lbs.,--,Orthodox,"Sep11,1975",1.32,40%,2.64,50%,9.89,50%,0%,9.9,2023-09-20 21:50:56.958211
Josh Sampo,11-5-0,The Gremlin,"5'4""",125lbs.,"64""",Orthodox,"Jul24,1984",1.99,36%,2.96,55%,1.06,33%,40%,2.1,2023-09-20 21:50:56.958211
Josh San Diego,8-3-0,JSD,"5'10""",135lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Diego Sanchez,31-13-0,Nightmare,"5'10""",170lbs.,"72""",Southpaw,"Dec31,1981",2.69,37%,3.02,56%,1.51,24%,46%,0.8,2023-09-20 21:50:56.958211
Eddie Sanchez,15-8-0,The Manic Hispanic,"6'2""",230lbs.,"74""",Orthodox,"Nov04,1982",3.45,43%,3.3,43%,1.13,26%,42%,0.0,2023-09-20 21:50:56.958211
Julian Sanchez,0-1-0,,"6'3""",300lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Bobby Sanchez,10-35-0,The Kid,"5'7""",155lbs.,--,Orthodox,--,0.0,0%,0.0,100%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Donald Sanchez,31-17-0,,"5'10""",145lbs.,--,,"Aug18,1984",0.58,50%,1.16,55%,0.0,0%,50%,0.0,2023-09-20 21:50:56.958211
Joby Sanchez,11-4-0,,"5'6""",135lbs.,"68""",Orthodox,"Jun24,1991",3.22,36%,2.82,63%,0.95,71%,51%,0.4,2023-09-20 21:50:56.958211
Emmanuel Sanchez,15-3-0,El Matador,"5'9""",145lbs.,"71""",,"Aug11,1990",4.45,35%,4.17,55%,0.25,6%,16%,0.5,2023-09-20 21:50:56.958211
Erick Sanchez,8-3-0,,"5'10""",145lbs.,--,,"Oct04,1990",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Andrew Sanchez,13-7-0,El Dirte,"6'1""",185lbs.,"74""",Orthodox,"Apr08,1988",4.3,43%,5.1,50%,2.55,36%,100%,0.0,2023-09-20 21:50:56.958211
Robert Sanchez,8-2-0,Littlefury,"5'6""",125lbs.,"66""",Orthodox,"Mar05,1986",0.96,40%,1.78,46%,3.61,62%,50%,0.7,2023-09-20 21:50:56.958211
Jesse Sanders,23-7-0,,"6'0""",170lbs.,--,Orthodox,--,0.0,0%,6.45,35%,0.0,0%,50%,0.0,2023-09-20 21:50:56.958211
Luke Sanders,13-5-0,Cool Hand,"5'6""",135lbs.,"67""",Southpaw,"Dec12,1985",6.61,52%,4.37,50%,0.71,30%,72%,0.2,2023-09-20 21:50:56.958211
Jerrod Sanders,16-3-0 (1 NC),J-Reazie,"5'8""",135lbs.,"72""",Orthodox,"Oct01,1979",0.88,64%,1.14,46%,2.2,33%,50%,1.6,2023-09-20 21:50:56.958211
Cory Sandhagen,17-4-0,,"5'11""",135lbs.,"70""",Switch,"Apr20,1992",5.33,44%,3.4,58%,1.36,33%,64%,0.3,2023-09-20 21:50:56.958211
Hugo Sandoval,2-3-0,,--,135lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Raul Sandoval,3-3-0,,--,130lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Joseph Sandoval,7-7-0,,"5'7""",135lbs.,--,Southpaw,"May11,1986",1.82,42%,12.12,60%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Hector Sandoval,14-4-0,Kid Alex,"5'2""",125lbs.,"64""",Orthodox,"Jul19,1986",3.31,52%,2.33,65%,3.49,25%,71%,1.4,2023-09-20 21:50:56.958211
Chris Sanford,5-1-0,,"5'11""",185lbs.,--,Orthodox,"Mar12,1968",0.23,50%,3.22,17%,0.0,0%,0%,3.5,2023-09-20 21:50:56.958211
Roldan Sangcha'an,4-2-0,The Executioner,"5'4""",125lbs.,--,Orthodox,"Dec04,1990",2.71,46%,2.15,51%,1.94,60%,68%,0.0,2023-09-20 21:50:56.958211
Yuhi Sano,0-4-0,,"5'11""",243lbs.,--,Orthodox,"Feb02,1965",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Martin Sano,4-3-1,Spartan,"5'11""",170lbs.,"75""",Orthodox,"May30,1991",4.0,33%,12.0,40%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Jonathan Santa Maria,3-4-0,,"5'9""",125lbs.,--,,--,3.6,51%,2.53,74%,0.0,0%,80%,0.0,2023-09-20 21:50:56.958211
Duda Santana,3-1-0,Cowboyzinha,"5'7""",145lbs.,"73""",Orthodox,"Jan10,1996",6.01,39%,2.72,73%,6.44,60%,0%,0.0,2023-09-20 21:50:56.958211
Shaheen Santana,6-1-0,Shazam,"6'1""",155lbs.,"75""",Orthodox,"Jun04,1991",0.82,42%,1.65,40%,0.0,0%,0%,2.8,2023-09-20 21:50:56.958211
Sean Santella,17-6-1 (1 NC),Shorty Rock,"5'5""",125lbs.,--,,"Oct25,1984",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Jorge Santiago,25-12-0,The Sandman,"6'1""",170lbs.,"75""",Orthodox,"Oct09,1980",1.69,35%,2.62,56%,0.58,30%,52%,0.8,2023-09-20 21:50:56.958211
Mike Santiago,19-12-0,,"5'10""",145lbs.,"69""",Orthodox,"Jul28,1989",3.44,49%,3.58,36%,2.66,50%,53%,1.1,2023-09-20 21:50:56.958211
Will Santiago,9-5-0,The Brown Bomber,"5'7""",185lbs.,--,Orthodox,"Feb08,1983",1.47,39%,5.53,56%,1.0,50%,100%,0.0,2023-09-20 21:50:56.958211
Richie Santiago,7-2-0,The Milford Mauler,"5'7""",135lbs.,"67""",Southpaw,"Oct10,1992",3.87,49%,4.87,42%,0.0,0%,25%,0.0,2023-09-20 21:50:56.958211
Jose Santibanez,10-3-0,,--,155lbs.,--,,"Jan18,1980",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Art Santore,18-8-0,Pachuco,"6'2""",185lbs.,--,,"Oct26,1972",1.4,12%,7.31,52%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Adriano Santos,0-1-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Paulo Santos,0-3-0,,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Evangelista Santos,21-18-0,Cyborg,"5'10""",170lbs.,"76""",Orthodox,"Dec12,1977",3.94,36%,6.01,49%,0.78,100%,50%,0.4,2023-09-20 21:50:56.958211
Luis Santos,63-10-1 (1 NC),,"6'1""",170lbs.,--,Southpaw,--,4.4,57%,4.0,64%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Iliarde Santos,30-13-1 (1 NC),,"5'5""",125lbs.,"67""",Orthodox,"Sep25,1980",3.0,30%,6.1,57%,1.66,23%,83%,0.0,2023-09-20 21:50:56.958211
Leonardo Santos,18-7-1,,"6'0""",155lbs.,"75""",Orthodox,"Feb05,1980",2.82,46%,3.4,54%,0.88,25%,86%,0.2,2023-09-20 21:50:56.958211
Thiago Santos,22-11-0,Marreta,"6'2""",205lbs.,"76""",Orthodox,"Jan07,1984",3.72,48%,2.57,53%,0.88,33%,65%,0.1,2023-09-20 21:50:56.958211
Bruno Santos,15-2-0,Carioca,"5'9""",185lbs.,--,Orthodox,"Jul17,1987",1.18,46%,2.27,56%,3.0,37%,66%,0.3,2023-09-20 21:50:56.958211
Andre Santos,38-10-0,Chatuba,"6'0""",170lbs.,--,,--,2.77,34%,4.17,41%,2.5,29%,75%,0.0,2023-09-20 21:50:56.958211
Gleristone Santos,33-7-0,Toninho Furia,"5'9""",145lbs.,--,,"Aug20,1988",3.4,31%,4.4,64%,0.0,0%,75%,0.0,2023-09-20 21:50:56.958211
Yana Santos,14-8-0 (1 NC),,"5'6""",135lbs.,"68""",Orthodox,"Nov11,1989",4.16,56%,3.03,50%,1.11,53%,42%,0.1,2023-09-20 21:50:56.958211
Taila Santos,19-3-0,,"5'6""",125lbs.,"68""",Orthodox,"Jun22,1993",3.39,48%,2.64,58%,2.0,76%,86%,1.1,2023-09-20 21:50:56.958211
Marilia Santos,10-3-0,Chocolate,"5'4""",125lbs.,--,Orthodox,"Dec12,1992",4.4,54%,4.07,53%,1.0,100%,66%,1.0,2023-09-20 21:50:56.958211
Edivan Santos,12-3-1 (1 NC),Pe De Sapo,"6'4""",248lbs.,"78""",Orthodox,"May03,1992",1.55,48%,7.09,26%,0.0,0%,25%,0.0,2023-09-20 21:50:56.958211
Daniel Santos,12-2-0,Willycat,"5'7""",135lbs.,"67""",Orthodox,"Mar12,1995",4.26,37%,5.12,50%,1.9,50%,73%,0.0,2023-09-20 21:50:56.958211
Gabriel Santos,10-2-0,Mosquitinho,"5'9""",145lbs.,"70""",Orthodox,"Nov28,1996",4.46,55%,6.03,44%,4.34,46%,66%,1.2,2023-09-20 21:50:56.958211
Luana Santos,6-1-0,,"5'6""",125lbs.,"67""",Orthodox,"Apr16,2000",17.1,60%,6.52,68%,0.0,0%,100%,0.0,2023-09-20 21:50:56.958211
Nick Sanzo,1-1-0,,"5'9""",190lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Bob Sapp,11-20-0,The Beast,"6'5""",350lbs.,--,Orthodox,"Sep22,1974",3.19,55%,1.88,49%,0.58,100%,72%,0.0,2023-09-20 21:50:56.958211
Daniel Sarafian,10-6-0,,"5'9""",185lbs.,"73""",Orthodox,"Aug21,1982",2.23,46%,3.1,58%,0.36,7%,53%,0.7,2023-09-20 21:50:56.958211
Jeka Saragih,13-3-0,,"5'8""",155lbs.,"69""",Orthodox,"Jan01,1995",2.77,51%,2.56,42%,1.89,100%,60%,0.6,2023-09-20 21:50:56.958211
Diego Saraiva,22-20-1,The Octopus,"5'6""",155lbs.,--,Orthodox,"Apr23,1982",1.64,32%,3.58,62%,1.33,40%,0%,0.7,2023-09-20 21:50:56.958211
Harris Sarmiento,36-26-0,The Hitman,"5'9""",155lbs.,--,Orthodox,"Sep09,1983",0.84,25%,3.46,36%,2.36,60%,57%,0.0,2023-09-20 21:50:56.958211
Alexander Sarnavskiy,35-6-0,Tiger,"5'11""",155lbs.,--,,"Jan17,1989",1.43,66%,2.06,42%,0.0,0%,75%,0.0,2023-09-20 21:50:56.958211
Yuki Sasaki,25-22-2,,"6'2""",185lbs.,--,Orthodox,"Sep12,1976",1.09,43%,1.2,57%,0.43,100%,66%,0.0,2023-09-20 21:50:56.958211
Kyosuke Sasaki,3-7-4,,"5'7""",183lbs.,--,Southpaw,--,0.33,45%,0.93,46%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Yuta Sasaki,21-6-2,Ulka,"5'10""",125lbs.,"71""",Southpaw,"Oct07,1989",2.16,41%,2.5,50%,3.03,43%,41%,1.2,2023-09-20 21:50:56.958211
Paul Sass,14-2-0,,"6'0""",155lbs.,"73""",Orthodox,"Aug04,1988",0.53,26%,1.9,51%,0.53,16%,33%,7.4,2023-09-20 21:50:56.958211
Keisuke Sasu,11-3-1,Sasuke,"5'5""",145lbs.,"69""",Switch,"Sep30,1994",2.76,49%,2.42,48%,3.76,40%,61%,1.9,2023-09-20 21:50:56.958211
Masaaki Satake,1-8-1,,"6'1""",220lbs.,--,Orthodox,"Aug17,1965",1.4,35%,3.76,41%,0.0,0%,58%,0.0,2023-09-20 21:50:56.958211
Takenori Sato,19-11-7 (1 NC),,"5'10""",170lbs.,--,Southpaw,"Jun08,1985",0.46,33%,12.92,9%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Takashi Sato,16-7-0,Ten,"5'10""",170lbs.,"73""",Southpaw,"Jun09,1990",2.21,41%,3.73,44%,0.76,37%,60%,0.0,2023-09-20 21:50:56.958211
Jeimeson Saudino,8-5-0,The Minion,"5'6""",135lbs.,--,,"Mar05,1991",0.66,30%,0.82,84%,2.47,50%,0%,2.5,2023-09-20 21:50:56.958211
Tom Sauer,25-12-0,,"6'1""",263lbs.,--,,"Nov11,1970",0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Townsend Saunders,0-2-0,,"5'5""",170lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Ben Saunders,22-13-2,Killa B,"6'2""",170lbs.,"77""",Orthodox,"Apr13,1983",3.23,50%,3.58,51%,0.2,40%,66%,1.3,2023-09-20 21:50:56.958211
Chad W. Saunders,7-2-0,,"5'10""",170lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,2023-09-20 21:50:56.958211
Chris Saunders,16-8-0,The So Cal Kid,"5'8""",155lbs.,--,,"Mar11,1986",1.48,22%,2.96,75%,3.7,100%,0%,0.0,2023-09-20 21:50:56.958211
