event_date,fighter1,fighter2,outcome,weight_class,fighter1_curr_height,fighter1_reach,fighter1_stance,fighter1_sig_strikes_landed_pm,fighter1_sig_strikes_accuracy,fighter1_sig_strikes_absorbed_pm,fighter1_sig_strikes_defended,fighter1_takedown_avg_per15m,fighter1_takedown_accuracy,fighter1_takedown_defence,fighter1_submission_avg_attempted_per15m,fighter1_age,fighter2_curr_height,fighter2_reach,fighter2_stance,fighter2_sig_strikes_landed_pm,fighter2_sig_strikes_accuracy,fighter2_sig_strikes_absorbed_pm,fighter2_sig_strikes_defended,fighter2_takedown_avg_per15m,fighter2_takedown_accuracy,fighter2_takedown_defence,fighter2_submission_avg_attempted_per15m,fighter2_age
2023-08-05,Billy Quarantillo,Damon Jackson,fighter1,Featherweight,177.8,177.8,Orthodox,7.71,0.57,5.61,0.43,1.31,0.23,0.63,1.2,35.0,180.34,180.34,Switch,3.02,0.4,3.46,0.5,2.44,0.34,0.4,1.6,35.0
2023-08-05,Jake Hadley,Cody Durden,fighter2,Flyweight,170.18,177.8,Southpaw,3.42,0.44,3.2,0.6,0.32,0.25,0.35,2.2,27.0,170.18,170.18,Southpaw,3.13,0.49,2.94,0.52,5.41,0.5,0.8,0.4,32.0
2023-08-05,Dennis Buzukja,Sean Woodson,fighter2,Featherweight,175.26,177.8,Switch,3.29,0.43,4.71,0.41,1.0,0.3,0.73,0.3,26.0,187.96,198.12,Orthodox,5.41,0.46,4.0,0.57,0.71,0.8,0.83,0.5,31.0
2023-08-05,Assu Almabayev,Ode Osbourne,fighter1,Flyweight,162.56,165.1,Orthodox,3.18,0.65,0.49,0.77,3.67,0.4,0.0,3.7,29.0,170.18,185.42000000000002,Southpaw,3.74,0.39,4.41,0.45,1.37,0.27,0.68,0.3,31.0
2023-07-29,Dustin Poirier,Justin Gaethje,fighter2,Lightweight,175.26,182.88,Southpaw,5.49,0.5,4.3,0.53,1.36,0.36,0.63,1.2,34.0,180.34,177.8,Orthodox,7.35,0.6,7.5,0.53,0.13,0.25,0.75,0.0,35.0
2023-07-29,Jan Blachowicz,Alex Pereira,fighter2,Light Heavyweight,187.96,198.12,Orthodox,3.41,0.5,2.91,0.53,1.09,0.5,0.68,0.3,40.0,193.04,200.66,Orthodox,5.11,0.62,3.7,0.51,0.22,1.0,0.7,0.2,36.0
2023-07-29,Marcos Rogerio de Lima,Derrick Lewis,fighter2,Heavyweight,185.42000000000002,190.5,Orthodox,3.61,0.56,2.96,0.51,1.34,0.47,0.59,0.5,38.0,190.5,200.66,Orthodox,2.6,0.5,2.59,0.41,0.59,0.28,0.52,0.0,38.0
2023-07-29,Tony Ferguson,Bobby Green,fighter2,Lightweight,180.34,193.04,Orthodox,4.98,0.45,4.26,0.56,0.42,0.35,0.66,0.9,39.0,177.8,180.34,Orthodox,6.14,0.52,3.67,0.62,1.21,0.37,0.74,0.3,37.0
2023-07-29,Michael Chiesa,Kevin Holland,fighter2,Welterweight,185.42000000000002,190.5,Southpaw,1.87,0.4,1.7,0.54,3.33,0.5,0.6,1.0,36.0,190.5,205.74,Orthodox,4.39,0.49,3.22,0.51,0.78,0.38,0.53,0.5,31.0
2023-07-29,Trevin Giles,Gabriel Bonfim,fighter2,Welterweight,182.88,187.96,Orthodox,2.97,0.53,2.09,0.59,1.27,0.55,0.71,0.3,31.0,185.42000000000002,182.88,Orthodox,6.08,0.37,4.8,0.66,4.8,1.0,1.0,7.2,26.0
