,event_name,event_date,event_location,Weight class,fighter1,fighter2,outcome,Kd,Str,Td,Sub,Method,Round,Time,timestamp
69,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Women's Strawweight,Jaqueline Amorim,Montserrat Conejo Ruiz,fighter1,0                                  0,86                                  6,1                                  1,4                                  0,KO/TKO              Punches,3,3:41,2023-09-21 02:02:55.178363
70,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Bantamweight,Da'Mon Blackshear,Jose Johnson,fighter1,0                                  0,18                                  8,2                                  0,1                                  0,SUB              Twister,1,3:47,2023-09-21 02:02:55.178363
71,UFC Fight Night: Luque vs. Dos Anjos,August 12 2023,"Las Vegas, Nevada, USA",Women's Flyweight,Luana Santos,Juliana Miller,fighter1,0                                  0,63                                  24,0                                  0,0                                  0,KO/TKO              Punches,1,3:41,2023-09-21 02:02:55.178363
72,UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Catch Weight,Cory Sandhagen,Rob Font,fighter1,0                                  0,34                                  9,7                                  1,1                                  0,U-DEC,5,5:00,2023-09-21 02:02:55.178363
73,UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Women's Strawweight,Tatiana Suarez,Jessica Andrade,fighter1,0                                  0,23                                  11,3                                  0,1                                  0,SUB              Guillotine Choke,2,1:31,2023-09-21 02:02:55.178363
74,UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Light Heavyweight,Dustin Jacoby,Kennedy Nzechukwu,fighter1,1                                  0,10                                  4,0                                  0,0                                  0,KO/TKO              Punch,1,1:22,2023-09-21 02:02:55.178363
75,UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Featherweight,Diego Lopes,Gavin Tucker,fighter1,0                                  0,0                                  0,0                                  1,3                                  0,SUB              Triangle Armbar,1,1:38,2023-09-21 02:02:55.178363
76,UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Light Heavyweight,Tanner Boser,Aleksa Camur,fighter1,0                                  0,120                                  68,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
77,UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Lightweight,Ludovit Klein,Ignacio Bahamondes,fighter1,0                                  0,56                                  43,3                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
78,UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Bantamweight,Kyler Phillips,Raoni Barcelos,fighter1,1                                  0,72                                  46,1                                  3,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
79,UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Welterweight,Carlston Harris,Jeremiah Wells,fighter1,0                                  0,5                                  18,0                                  3,1                                  2,SUB              Anaconda Choke,3,1:50,2023-09-21 02:02:55.178363
80,UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Featherweight,Billy Quarantillo,Damon Jackson,fighter1,0                                  0,100                                  67,0                                  3,1                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
81,UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Flyweight,Cody Durden,Jake Hadley,fighter1,0                                  0,38                                  26,4                                  0,1                                  3,U-DEC,3,5:00,2023-09-21 02:02:55.178363
82,UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Featherweight,Sean Woodson,Dennis Buzukja,fighter1,0                                  0,71                                  42,4                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
83,UFC Fight Night: Sandhagen vs. Font,August 05 2023,"Nashville, Tennessee, USA",Flyweight,Assu Almabayev,Ode Osbourne,fighter1,0                                  0,26                                  4,2                                  0,2                                  0,SUB              Rear Naked Choke,2,3:11,2023-09-21 02:02:55.178363
84,UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Lightweight,Justin Gaethje,Dustin Poirier,fighter1,1                                  0,41                                  27,0                                  0,0                                  0,KO/TKO              Kick,2,1:00,2023-09-21 02:02:55.178363
85,UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Light Heavyweight,Alex Pereira,Jan Blachowicz,fighter1,0                                  0,70                                  52,0                                  3,1                                  2,S-DEC,3,5:00,2023-09-21 02:02:55.178363
86,UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Heavyweight,Derrick Lewis,Marcos Rogerio de Lima,fighter1,1                                  0,17                                  1,0                                  0,0                                  0,KO/TKO              Punches,1,0:33,2023-09-21 02:02:55.178363
87,UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Lightweight,Bobby Green,Tony Ferguson,fighter1,0                                  0,137                                  54,0                                  0,1                                  0,SUB              Arm Triangle,3,4:54,2023-09-21 02:02:55.178363
88,UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Welterweight,Kevin Holland,Michael Chiesa,fighter1,0                                  0,9                                  4,0                                  0,1                                  0,SUB              D'Arce Choke,1,2:39,2023-09-21 02:02:55.178363
89,UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Welterweight,Gabriel Bonfim,Trevin Giles,fighter1,0                                  0,3                                  1,1                                  0,1                                  0,SUB              Guillotine Choke,1,1:13,2023-09-21 02:02:55.178363
90,UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Flyweight,CJ Vergara,Vinicius Salvador,fighter1,0                                  0,109                                  88,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
91,UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Middleweight,Roman Kopylov,Claudio Ribeiro,fighter1,1                                  0,32                                  32,0                                  0,0                                  0,KO/TKO              Kick,2,0:33,2023-09-21 02:02:55.178363
92,UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Welterweight,Jake Matthews,Darrius Flowers,fighter1,0                                  0,60                                  36,0                                  1,1                                  0,SUB              Rear Naked Choke,2,2:37,2023-09-21 02:02:55.178363
93,UFC 291: Poirier vs. Gaethje 2,July 29 2023,"Salt Lake City, Utah, USA",Welterweight,Uros Medic,Matthew Semelsberger,fighter1,1                                  1,69                                  52,1                                  0,0                                  0,KO/TKO              Spinning Back Elbow,3,2:36,2023-09-21 02:02:55.178363
