event_name,event_date,weight_class,fighter1,fighter2,method,round,outcome,timestamp
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Flyweight,Jesus Aguilar,Shannon Ross,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC 290: Volkanovski vs. Rodriguez,2023-07-08,Lightweight,Esteban Ribovics,Kamuela Kirk,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Middleweight,Sean Strickland,Abus Magomedov,KO/TKO              Punches,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Lightweight,Grant Dawson,Damir Ismagulov,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Welterweight,Michael Morales,Max Griffin,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Women's Flyweight,Ariane Lipski,Melissa Gatto,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Lightweight,Benoit Saint Denis,Ismael Bonfim,SUB              Rear Naked Choke,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Middleweight,Nursulton Ruziboev,Brunno Ferreira,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Welterweight,Rinat Fakhretdinov,Kevin Lee,SUB              Guillotine Choke,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Featherweight,Joanderson Brito,Westin Wilson,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Women's Featherweight,Karol Rosa,Yana Santos,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Lightweight,Elves Brener,Guram Kutateladze,KO/TKO              Punch,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Women's Flyweight,Luana Carolina,Ivana Petrovic,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Strickland vs. Magomedov,2023-07-01,Heavyweight,Alexandr Romanov,Blagoy Ivanov,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Featherweight,Ilia Topuria,Josh Emmett,U-DEC,5,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Women's Flyweight,Maycee Barber,Amanda Ribas,KO/TKO              Elbows,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Emmett vs. Topuria,2023-06-24,Heavyweight,Austen Lane,Justin Tafa,CNC,1,No contest,2023-09-21 02:02:55.178363
