,events,odds
200,UFC Fight Night: Cejudo vs. Dillashaw,UFC Fight Night 146
201,UFC 232: Jones vs. Gustafsson 2,UFC Fight Night 147
202,UFC Fight Night: Lee vs. Iaquinta,UFC Fight Night 148
203,UFC 231: Holloway vs. Ortega,UFC on ESPN 2
204,UFC Fight Night: Dos Santos vs. Tuivasa,UFC 236
205,The Ultimate Fighter: Heavy Hitters Finale,UFC Fight Night 149
206,UFC Fight Night: Blaydes vs. Ngannou 2,UFC on ESPN 3
207,UFC Fight Night: Magny vs. Ponzinibbio,UFC Fight Night 150
208,UFC Fight Night: Korean Zombie vs. Rodriguez,UFC 237
209,UFC 230: Cormier vs. Lewis,UFC Fight Night 152
210,UFC Fight Night: Oezdemir vs. Smith,UFC Fight Night 153
211,UFC 229: Khabib vs. McGregor,UFC 238
212,UFC Fight Night: Marreta vs. Anders,UFC Fight Night 154
213,UFC Fight Night: Hunt vs. Oleinik,UFC 239
214,UFC 228: Woodley vs. Till,UFC Fight Night 155
215,UFC Fight Night: Gaethje vs. Vick,UFC on ESPN 4
216,UFC 227: Dillashaw vs. Garbrandt 2,UFC 240
217,UFC Fight Night: Alvarez vs. Poirier 2,UFC on ESPN 5
218,UFC Fight Night: Shogun vs. Smith,UFC Fight Night 156
219,UFC Fight Night: Dos Santos vs. Ivanov,UFC 241
220,UFC 226: Miocic vs. Cormier,UFC Fight Night 157
221,The Ultimate Fighter: Undefeated Finale,UFC 242
222,UFC Fight Night: Cowboy vs. Edwards,UFC Fight Night 158
223,UFC 225: Whittaker vs. Romero 2,UFC Fight Night 159
224,UFC Fight Night: Rivera vs. Moraes,UFC Fight Night 160
225,UFC Fight Night: Thompson vs. Till,UFC 243
226,UFC Fight Night: Maia vs. Usman,UFC on ESPN+ 19
227,UFC 224: Nunes vs. Pennington,UFC ESPN 6
228,UFC Fight Night: Barboza vs. Lee,UFC Fight Night 162
229,UFC Fight Night: Poirier vs. Gaethje,UFC 244
230,UFC 223: Khabib vs. Iaquinta,UFC Fight Night 163
231,UFC Fight Night: Werdum vs. Volkov,UFC Fight Night 164
232,UFC 222: Cyborg vs. Kunitskaya,UFC on ESPN 7
233,UFC Fight Night: Emmett vs. Stephens,UFC 245
234,UFC Fight Night: Cerrone vs. Medeiros,UFC Fight Night 165
235,UFC 221: Romero vs. Rockhold,UFC 246
236,UFC Fight Night: Machida vs. Anders,UFC Fight Night 166
237,UFC Fight Night: Jacare vs. Brunson 2,UFC 247
238,UFC 220: Miocic vs. Ngannou,UFC Fight Night 167
239,UFC Fight Night: Stephens vs. Choi,UFC 248
240,UFC 219: Cyborg vs. Holm,UFC Fight Night 169
241,UFC Fight Night: Lawler vs. Dos Anjos,UFC 249
242,UFC Fight Night: Swanson vs. Ortega,UFC Fight Night 170
243,UFC 218: Holloway vs. Aldo 2,UFC Fight Night 171
244,The Ultimate Fighter: A New World Champion Finale,UFC Fight Night 172
245,UFC Fight Night: Bisping vs. Gastelum,UFC 250
246,UFC Fight Night: Werdum vs. Tybura,UFC Fight Night 173
247,UFC Fight Night: Poirier vs. Pettis,UFC Fight Night 174
248,UFC 217: Bisping vs. St-Pierre,UFC Fight Night 175
249,UFC Fight Night: Brunson vs. Machida,UFC 251
250,UFC Fight Night: Cerrone vs. Till,UFC Fight Island 1
251,UFC 216: Ferguson vs. Lee,UFC Fight Island 2
252,UFC Fight Night: Saint Preux vs. Okami,UFC Fight Island 3
253,UFC Fight Night: Rockhold vs. Branch,UFC Vegas 5
254,UFC 215: Nunes vs Shevchenko 2,UFC Vegas 6
255,UFC Fight Night: Volkov vs. Struve,UFC 252
256,UFC Fight Night: Pettis vs. Moreno,UFC Vegas 7
257,UFC 214: Cormier vs. Jones 2,UFC Fight Night 182
258,UFC Fight Night: Weidman vs. Gastelum,UFC Fight Night 183
259,UFC Fight Night: Nelson vs. Ponzinibbio,UFC FN - Covington vs Woodley
260,UFC 213: Romero vs. Whittaker,UFC 253
261,The Ultimate Fighter: Redemption Finale,UFC FN - Holm vs Aldana
262,UFC Fight Night: Chiesa vs. Lee,UFC FN - Ortega vs Zombie
263,UFC Fight Night: Holm vs. Correia,UFC 254
264,UFC Fight Night: Lewis vs. Hunt,UFC Vegas 12
265,UFC 212: Aldo vs. Holloway,UFC Vegas 13
266,UFC Fight Night: Gustafsson vs. Teixeira,UFC Vegas 14
267,UFC 211: Miocic vs. Dos Santos,UFC 255
268,UFC Fight Night: Swanson vs. Lobov,UFC Vegas 15
269,UFC on FOX: Johnson vs. Reis,UFC Vegas 16
270,UFC 210: Cormier vs. Johnson 2,UFC 256
271,UFC Fight Night: Manuwa vs. Anderson,UFC Vegas 17
272,UFC Fight Night: Belfort vs. Gastelum,UFC FN
273,UFC 209: Woodley vs. Thompson 2,UFC 257
274,UFC Fight Night: Lewis vs. Browne,UFC Fight Night 185
275,UFC 208: Holm vs. De Randamie,UFC Fight Night 186
276,UFC Fight Night: Bermudez vs. The Korean Zombie,UFC 259
277,UFC on FOX: Shevchenko vs. Pena,UFC 260
278,UFC Fight Night: Rodriguez vs. Penn,UFC 262
279,UFC 207: Nunes vs. Rousey,UFC 263
280,UFC on FOX: VanZant vs. Waterson,UFC 266
281,UFC 206: Holloway vs. Pettis,UFC 267
282,UFC Fight Night: Lewis vs. Abdurakhimov,UFC Fight Night: Kattar vs. Chikadze
283,The Ultimate Fighter: Tournament of Champions Finale,UFC 270
284,UFC Fight Night: Whittaker vs. Brunson,UFC 271
285,UFC Fight Night: Bader vs. Nogueira,UFC Fight Night: Green vs. Makhachev
286,UFC Fight Night: Mousasi vs. Hall 2,UFC 272
287,UFC 205: Alvarez vs McGregor,UFC Fight Night: Santos vs. Ankalaev
288,UFC Fight Night: Dos Anjos vs. Ferguson,UFC Fight Night: Volkov vs. Aspinall
289,UFC 204: Bisping vs. Henderson,UFC 273
290,UFC Fight Night: Lineker vs. Dodson,UFC Fight Night: Luque vs. Muhammad II
291,UFC Fight Night: Cyborg vs. Lansberg,UFC Fight Night: Błachowicz vs. Rakić
292,UFC Fight Night: Poirier vs. Johnson,UFC Fight Night: Holm vs. Vieira
293,UFC 203: Miocic vs. Overeem,UFC 275
294,UFC Fight Night: Arlovski vs. Barnett,UFC Fight Night: Kattar vs. Emmett
295,UFC on FOX: Maia vs. Condit,UFC Fight Night: Tsarukyan vs. Gamrot
296,UFC 202: Diaz vs. McGregor 2,UFC 276
297,UFC Fight Night: Rodriguez vs. Caceres,UFC Fight Night: Dos Anjos vs. Fiziev
298,UFC 201: Lawler vs. Woodley,UFC Fight Night: Ortega vs. Rodriguez
299,UFC on FOX: Holm vs. Shevchenko,UFC Fight Night: Blaydes vs. Aspinall
300,UFC Fight Night: McDonald vs. Lineker,UFC 277
301,UFC 200: Tate vs Nunes,UFC Fight Night: Santos vs. Hill
302,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,UFC 278
303,UFC Fight Night: Dos Anjos vs. Alvarez,UFC Fight Night: Gane vs. Tuivasa
304,UFC Fight Night: MacDonald vs Thompson,UFC Fight Night: Sandhagen vs. Song
305,UFC 199: Rockhold vs. Bisping 2,UFC Fight Night: Dern vs. Yan
306,UFC Fight Night: Almeida vs Garbrandt,UFC Fight Night: Grasso vs. Araujo
307,UFC 198: Werdum vs Miocic,UFC Fight Night: Kattar vs. Allen
308,UFC Fight Night: Overeem vs Arlovski,UFC Fight Night: Rodriguez vs. Lemos
309,UFC 197: Jones vs Saint Preux,UFC Fight Night: Nzechukwu vs. Cutelaba
310,UFC on FOX: Teixeira vs Evans,UFC Fight Night: Thompson vs. Holland
311,UFC Fight Night: Rothwell vs Dos Santos,UFC 282
312,UFC Fight Night: Hunt vs Mir,UFC Fight Night: Cannonier vs. Strickland
313,UFC 196: McGregor vs Diaz,UFC Fight Night: Muniz vs. Allen
314,UFC Fight Night: Silva vs Bisping,UFC 285
