event_date,weight_class,fighter1,fighter2,outcome
2023-06-10,Featherweight,Dan Ige,Nate Landwehr,fighter1
2023-06-10,Middleweight,Marc-Andre Barriault,Eryk Anders,fighter1
2023-06-10,Middleweight,Nassourdine Imavov,Chris Curtis,No contest
2023-06-10,Women's Flyweight,Jasmine Jasudavicius,Miranda Maverick,fighter1
2023-06-10,Bantamweight,Aiemann Zahabi, Aoriqileng,fighter1
2023-06-10,Featherweight,Kyle Nelson,Blake Bilder,fighter1
2023-06-10,Flyweight,Steve Erceg,David Dvorak,fighter1
2023-06-10,Women's Strawweight,Diana Belbita,Maria Oliveira,fighter1
2023-06-03,Flyweight,Amir Albazi,Kai Kara-France,fighter1
2023-06-03,Featherweight,Alex Caceres,Daniel Pineda,fighter1
2023-06-03,Lightweight,Jim Miller,Jesse Butler,fighter1
2023-06-03,Flyweight,Tim Elliott,Victor Altamirano,fighter1
2023-06-03,Women's Flyweight,Karine Silva,Ketlen Souza,fighter1
2023-06-03,Welterweight,Elizeu Zaleski dos Santos,Abubakar Nurmagomedov,fighter1
2023-06-03,Bantamweight,Daniel Santos,Johnny Munoz,fighter1
2023-06-03,Heavyweight,Don'Tale Mayes,Andrei Arlovski,fighter1
2023-06-03,Bantamweight,John Castaneda,Muin Gafurov,fighter1
2023-06-03,Lightweight,Muhammad Naimov,Jamie Mullarkey,fighter1
2023-06-03,Women's Strawweight,Elise Reed,Jinh Yu Frey,fighter1
2023-06-03,Bantamweight,Da'Mon Blackshear,Luan Lacerda,fighter1
2023-06-03,Light Heavyweight,Philipe Lins,Maxim Grishin,fighter1
2023-05-20,Women's Strawweight,Mackenzie Dern,Angela Hill,fighter1
2023-05-20,Middleweight,Anthony Hernandez,Edmen Shahbazyan,fighter1
2023-05-20,Catch Weight,Loopy Godinez,Emily Ducote,fighter1
2023-05-20,Welterweight,Joaquin Buckley,Andre Fialho,fighter1
2023-05-20,Lightweight,Diego Ferreira,Michael Johnson,fighter1
2023-05-20,Lightweight,Viacheslav Borshchev, Maheshate,fighter1
2023-05-20,Women's Strawweight,Karolina Kowalkiewicz,Vanessa Demopoulos,fighter1
2023-05-20,Welterweight,Gilbert Urbina,Orion Cosce,fighter1
2023-05-20,Heavyweight,Rodrigo Nascimento,Ilir Latifi,fighter1
2023-05-20,Lightweight,Chase Hooper,Nick Fiore,fighter1
2023-05-20,Women's Flyweight,Natalia Silva,Victoria Leonardo,fighter1
2023-05-20,Welterweight,Themba Gorimbo,Takashi Sato,fighter1
2023-05-13,Heavyweight,Jailton Almeida,Jairzinho Rozenstruik,fighter1
2023-05-13,Light Heavyweight,Johnny Walker,Anthony Smith,fighter1
2023-05-13,Welterweight,Ian Garry,Daniel Rodriguez,fighter1
2023-05-13,Light Heavyweight,Carlos Ulberg,Ihor Potieria,fighter1
2023-05-13,Welterweight,Alex Morono,Tim Means,fighter1
2023-05-13,Welterweight,Matt Brown,Court McGee,fighter1
2023-05-13,Heavyweight,Karl Williams,Chase Sherman,fighter1
2023-05-13,Catch Weight,Douglas Silva de Andrade,Cody Stamann,fighter1
2023-05-13,Women's Flyweight,Mandy Bohm,Ji Yeon Kim,fighter1
2023-05-13,Welterweight,Bryan Battle,Gabe Green,fighter1
2023-05-13,Women's Bantamweight,Tainara Lisboa,Jessica-Rose Clark,fighter1
2023-05-06,Bantamweight,Aljamain Sterling,Henry Cejudo,fighter1
2023-05-06,Welterweight,Belal Muhammad,Gilbert Burns,fighter1
2023-05-06,Women's Strawweight,Yan Xiaonan,Jessica Andrade,fighter1
2023-05-06,Featherweight,Movsar Evloev,Diego Lopes,fighter1
2023-05-06,Featherweight,Charles Jourdain,Kron Gracie,fighter1
2023-05-06,Lightweight,Matt Frevola,Drew Dober,fighter1
2023-05-06,Light Heavyweight,Kennedy Nzechukwu,Devin Clark,fighter1
2023-05-06,Welterweight,Khaos Williams,Rolando Bedoya,fighter1
2023-05-06,Women's Strawweight,Virna Jandiroba,Marina Rodriguez,fighter1
2023-05-06,Heavyweight,Parker Porter,Braxton Smith,fighter1
2023-05-06,Middleweight,Ikram Aliskerov,Phil Hawes,fighter1
2023-05-06,Middleweight,Claudio Ribeiro,Joseph Holmes,fighter1
2023-04-29,Bantamweight,Song Yadong,Ricky Simon,fighter1
2023-04-29,Middleweight,Caio Borralho,Michal Oleksiejczuk,fighter1
2023-04-29,Middleweight,Rodolfo Vieira,Cody Brundage,fighter1
2023-04-29,Featherweight,Fernando Padilla,Julian Erosa,fighter1
2023-04-29,Heavyweight,Marcos Rogerio de Lima,Waldo Cortes-Acosta,fighter1
2023-04-29,Welterweight,Trey Waters,Josh Quinlan,fighter1
2023-04-29,Heavyweight,Martin Buday,Jake Collier,fighter1
2023-04-29,Flyweight,Cody Durden,Charles Johnson,fighter1
2023-04-29,Women's Bantamweight,Irina Alekseeva,Stephanie Egger,fighter1
2023-04-29,Catch Weight,Marcus McGhee,Journey Newson,fighter1
2023-04-29,Women's Bantamweight,Jamey-Lyn Horth,Hailey Cowan,fighter1
2023-04-22,Heavyweight,Sergei Pavlovich,Curtis Blaydes,fighter1
2023-04-22,Middleweight,Bruno Silva,Brad Tavares,fighter1
2023-04-22,Lightweight,Bobby Green,Jared Gordon,No contest
