,event_date,event_name,weight_class,fighter1,fighter2,favourite,underdog,favourite_odds,underdog_odds,outcome,method,round,fighter1_height,fighter1_curr_weight,fighter1_dob,fighter1_reach,fighter1_stance,fighter1_sig_strikes_landed_pm,fighter1_sig_strikes_accuracy,fighter1_sig_strikes_absorbed_pm,fighter1_sig_strikes_defended,fighter1_takedown_avg_per15m,fighter1_takedown_accuracy,fighter1_takedown_defence,fighter1_submission_avg_attempted_per15m,fighter2_height,fighter2_curr_weight,fighter2_dob,fighter2_reach,fighter2_stance,fighter2_sig_strikes_landed_pm,fighter2_sig_strikes_accuracy,fighter2_sig_strikes_absorbed_pm,fighter2_sig_strikes_defended,fighter2_takedown_avg_per15m,fighter2_takedown_accuracy,fighter2_takedown_defence,fighter2_submission_avg_attempted_per15m,events_extract_ts,odds_extract_ts,fighter_extract_ts
30,2023-09-02,UFC Fight Night: Gane vs. Spivac,Welterweight,Ange Loosa,Rhys McKee,Ange Loosa,Rhys McKee,1.67,2.25,fighter1,U-DEC,3,177.8,77.11064,1993-03-18,187.96,Orthodox,6.32,0.46,6.88,0.51,2.25,0.45,1.0,0.2,187.96,77.11064,1995-09-10,198.12,Orthodox,6.06,0.48,9.47,0.44,0.0,0.0,0.33,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
31,2023-09-02,UFC Fight Night: Gane vs. Spivac,Women's Bantamweight,Nora Cornolle,Joselyne Edwards,Joselyne Edwards,Nora Cornolle,1.72,2.18,fighter1,U-DEC,3,170.18,61.23492,1989-12-06,170.18,Orthodox,2.67,0.51,1.2,0.57,0.0,0.0,0.37,0.0,172.72,61.23492,1995-09-29,177.8,Orthodox,4.71,0.52,3.36,0.5,1.0,0.33,0.64,0.3,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
32,2023-09-02,UFC Fight Night: Gane vs. Spivac,Bantamweight,Farid Basharat,Kleydson Rodrigues,Farid Basharat,Kleydson Rodrigues,1.27,3.92,fighter1,SUB              Arm Triangle,1,172.72,61.23492,1997-08-02,180.34,Orthodox,5.2,0.63,2.34,0.58,3.5,0.53,0.83,0.4,165.1,61.23492,1995-10-22,170.18,Orthodox,5.48,0.62,2.75,0.48,0.85,0.25,0.63,0.8,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
33,2023-09-02,UFC Fight Night: Gane vs. Spivac,Catch Weight,Jacqueline Cavalcanti,Zarah Fairn,,,,,fighter1,U-DEC,3,172.72,61.23492,1997-08-29,177.8,Orthodox,8.4,0.57,2.6,0.84,0.0,0.0,1.0,0.0,172.72,61.23492,1983-12-10,182.88,Orthodox,4.55,0.31,7.4,0.45,0.0,0.0,0.6,0.0,2023-09-21 02:02:55.178363,,2023-09-20 21:50:56.958211
34,2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Featherweight,Max Holloway,Chan Sung Jung,Max Holloway,Chan Sung Jung,1.15,6.5,fighter1,KO/TKO              Punch,3,180.34,65.77083999999999,1991-12-04,175.26,Orthodox,7.17,0.47,4.75,0.59,0.27,0.53,0.84,0.3,170.18,65.77083999999999,1987-03-17,182.88,Orthodox,3.93,0.41,4.52,0.52,0.7,0.44,0.72,0.6,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
35,2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Light Heavyweight,Anthony Smith,Ryan Spann,Ryan Spann,Anthony Smith,1.67,2.25,fighter1,S-DEC,3,193.04,92.98636,1988-07-26,193.04,Orthodox,3.16,0.48,4.45,0.46,0.52,0.28,0.48,0.7,195.58,92.98636,1991-08-24,200.66,Orthodox,3.42,0.4,3.91,0.45,1.29,0.35,0.47,1.5,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
36,2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Featherweight,Giga Chikadze,Alex Caceres,Giga Chikadze,Alex Caceres,1.44,2.9,fighter1,U-DEC,3,182.88,65.77083999999999,1988-08-25,187.96,Orthodox,4.08,0.43,3.44,0.62,0.23,0.33,0.69,0.2,177.8,65.77083999999999,1988-06-20,185.42000000000002,Southpaw,4.16,0.5,2.93,0.63,0.56,0.68,0.64,0.7,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
37,2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Bantamweight,Rinya Nakamura,Fernie Garcia,,,,,fighter1,U-DEC,3,170.18,61.23492,1995-03-23,172.72,Southpaw,4.23,0.54,1.78,0.7,4.23,0.85,1.0,2.8,170.18,61.23492,1992-04-12,170.18,Orthodox,1.8,0.34,2.69,0.5,0.32,0.5,0.47,0.6,2023-09-21 02:02:55.178363,,2023-09-20 21:50:56.958211
38,2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Women's Flyweight,Erin Blanchfield,Taila Santos,Erin Blanchfield,Taila Santos,1.77,2.15,fighter1,U-DEC,3,162.56,56.699,1999-05-04,167.64000000000001,Orthodox,5.58,0.52,3.32,0.62,2.86,0.36,0.83,1.2,167.64000000000001,56.699,1993-06-22,172.72,Orthodox,3.39,0.48,2.64,0.58,2.0,0.76,0.86,1.1,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
39,2023-08-26,UFC Fight Night: Holloway vs. The Korean Zombie,Heavyweight,Junior Tafa,Parker Porter,Junior Tafa,Parker Porter,inf,inf,fighter1,KO/TKO              Punch,1,190.5,108.86207999999999,1996-09-21,190.5,Orthodox,1.83,0.4,0.55,0.76,0.0,0.0,0.84,0.0,182.88,120.20188,1985-04-22,190.5,Orthodox,6.55,0.5,6.32,0.51,1.35,0.26,0.66,0.5,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
